"user_id","rec","freq","mon","used_offer","ride_fare","app_type","main_city","age","num_cities_used","rfm_seq","rfm_ind"
1,46,44,991.52,0,0,"Android","Chicago",40,2,532,532
2,19,34,475.79,0,0,"iPhone","Minneapolis",29,3,344,344
3,7,56,769.28,0,0,"Android","Indianapolis",47,1,124,123
4,29,51,1178.38,0,0,"iPhone","Indianapolis",43,2,422,421
5,17,40,857.49,0,0,"Android","Minneapolis",42,1,232,232
6,5,51,684.51,0,0,"Android","Chicago",43,1,124,123
7,13,42,561.34,0,0,"Android","Chicago",23,5,234,234
8,55,32,630.55,0,0,"iPhone","Chicago",42,5,543,544
9,27,32,507.22,0,0,"iPhone","Chicago",38,2,444,444
10,30,38,379.87,0,0,"Android","Chicago",40,4,435,435
11,9,53,654.83,0,0,"Android","Milwaukee",49,6,124,123
12,23,52,452.28,0,0,"Android","Minneapolis",45,5,325,325
13,31,63,1287,0,0,"iPhone","Milwaukee",35,3,413,411
14,9,29,622.18,0,0,"iPhone","Minneapolis",41,1,152,154
15,21,30,532.54,0,0,"iPhone","Milwaukee",24,3,344,344
16,15,97,1402.12,1,24.41,"Android","Chicago",26,5,213,211
17,21,54,1460.18,0,0,"iPhone","Milwaukee",42,3,321,321
18,32,17,430.48,0,0,"Android","Indianapolis",21,4,453,455
19,11,44,1217.05,0,0,"Android","Chicago",20,8,131,131
20,39,43,1032.74,0,0,"iPhone","Chicago",26,1,431,432
21,43,32,579.39,0,0,"Android","Chicago",49,3,543,544
22,47,55,1523.32,0,0,"iPhone","Chicago",30,6,521,521
23,19,22,237.49,0,0,"Android","Chicago",26,4,355,355
24,26,30,655.15,0,0,"iPhone","Chicago",24,3,443,443
25,28,33,754.28,0,0,"iPhone","Chicago",38,6,442,443
26,48,24,242.66,0,0,"iPhone","Indianapolis",39,3,555,555
27,31,80,824.74,1,22.28,"iPhone","Minneapolis",27,7,415,413
28,9,29,851.08,0,0,"Android","Indianapolis",43,7,151,152
29,58,36,1023.72,0,0,"iPhone","Milwaukee",32,2,541,542
30,5,39,694.63,0,0,"iPhone","Chicago",56,4,133,133
31,21,53,750.2,0,0,"Android","Milwaukee",54,2,324,323
32,49,53,1039.84,0,0,"iPhone","Chicago",33,2,523,522
33,7,38,367.52,0,0,"iPhone","Chicago",34,2,145,135
34,7,39,776.21,0,0,"iPhone","Minneapolis",21,4,133,133
35,8,39,497.09,0,0,"iPhone","Minneapolis",28,1,135,134
36,23,64,842.45,0,0,"iPhone","Chicago",31,9,315,313
37,27,64,535.72,0,0,"iPhone","Indianapolis",39,3,415,414
38,11,29,806.11,0,0,"Android","Chicago",38,5,151,153
39,22,36,814.81,0,0,"Android","Milwaukee",48,6,342,343
40,56,54,1218.81,0,0,"iPhone","Minneapolis",33,6,522,521
41,33,34,373.59,0,0,"iPhone","Minneapolis",40,4,445,445
42,39,50,470.45,0,0,"iPhone","Chicago",38,1,425,424
43,64,35,996.21,0,0,"iPhone","Indianapolis",43,2,541,542
44,9,93,1964.96,1,10.98,"Android","Milwaukee",23,4,111,111
45,7,47,1131.98,0,0,"Android","Indianapolis",40,3,122,122
46,49,33,893.27,0,0,"Android","Milwaukee",39,3,541,542
47,40,45,850.29,0,0,"Android","Chicago",48,6,423,432
48,48,48,976.82,0,0,"Android","Minneapolis",33,6,523,522
49,12,48,1019.07,0,0,"iPhone","Chicago",23,5,223,222
50,77,75,874.6,0,0,"iPhone","Chicago",30,3,514,512
51,18,44,978.72,0,0,"Android","Minneapolis",23,2,332,332
52,10,27,697.07,0,0,"Android","Minneapolis",23,6,151,153
53,33,50,769.77,0,0,"Android","Chicago",24,5,424,423
54,6,46,1240.39,0,0,"Android","Chicago",22,4,131,121
55,17,33,721.35,0,0,"iPhone","Minneapolis",21,3,242,243
56,11,72,1924.85,0,0,"Android","Milwaukee",60,4,111,111
57,65,30,666.98,0,0,"iPhone","Chicago",38,6,543,543
58,6,31,919.99,0,0,"iPhone","Chicago",46,2,141,142
59,23,46,1298.52,0,0,"Android","Minneapolis",40,3,321,321
60,15,39,337.39,0,0,"Android","Minneapolis",42,1,235,235
61,7,29,673.92,0,0,"iPhone","Milwaukee",27,2,151,153
62,29,36,521.3,0,0,"iPhone","Indianapolis",43,2,444,444
63,33,42,1212.6,0,0,"iPhone","Chicago",31,2,431,431
64,51,36,618.92,0,0,"iPhone","Chicago",29,2,543,544
65,16,19,255.53,0,0,"iPhone","Chicago",50,9,255,255
66,25,53,1229.29,0,0,"Android","Indianapolis",47,5,322,321
67,25,57,696.95,0,0,"iPhone","Milwaukee",43,6,324,323
68,27,48,721.74,1,35.26,"Android","Minneapolis",32,5,424,423
69,7,39,746.05,0,0,"iPhone","Milwaukee",20,5,133,133
70,5,61,1189.04,0,0,"iPhone","Chicago",44,4,114,111
71,7,18,364.4,0,0,"Android","Chicago",28,5,154,155
