"customer_id","customer_type","state","zip","zip3","customer_sqft","first_purch","last_purch","cases","dollars","cab_franc","cab_sauvignon","malbec","merlot","red_blend","syrah","buyer"
1,"bar","DC",20003,200,3635,99,35,10,7286,0,2,0,2,3,3,1
2,"bar","MD",21102,211,3566,99,35,9,6490,0,1,1,3,3,1,1
3,"restaurant","MD",21227,212,2848,99,33,10,7160,0,0,1,4,1,4,0
4,"bar","NJ",8854,88,1919,99,33,10,7275,2,3,1,3,1,0,0
5,"bar","NJ",7070,70,3114,99,33,8,5808,1,1,3,2,1,0,0
6,"restaurant","PA",16509,165,3460,99,31,8,5910,1,0,0,4,2,1,0
7,"bar","NY",11209,112,3600,99,33,7,4945,0,0,3,2,1,1,0
8,"bar","NY",10965,109,2579,99,33,7,4964,0,1,4,2,0,0,0
9,"restaurant","MA",1876,18,3226,99,33,8,5674,2,0,1,2,2,1,0
10,"bar","NY",13212,132,3080,99,33,12,8577,0,3,2,3,2,2,0
11,"bar","NY",10010,100,3531,99,33,11,7805,1,4,3,1,2,0,0
12,"restaurant","DE",19971,199,3280,99,35,5,3579,1,0,1,2,0,1,0
13,"bar","PA",19148,191,2613,99,35,6,4272,1,0,0,1,3,1,0
14,"bar","MA",2562,25,2997,99,33,9,6623,1,0,2,1,5,0,0
15,"restaurant","PA",17110,171,2154,99,33,8,5796,1,1,1,5,0,0,0
16,"bar","PA",15601,156,3038,99,31,9,6613,0,2,1,4,1,1,0
17,"bar","MA",2169,21,3416,97,29,10,7289,1,1,1,2,1,4,1
18,"bar","MA",1970,19,2884,97,31,9,6476,0,4,2,1,1,1,0
19,"restaurant","NJ",7039,70,2412,97,31,9,6510,2,0,1,5,1,0,0
20,"bar","MD",20905,209,2481,97,31,8,5699,1,2,3,0,0,2,0
21,"restaurant","MD",21218,212,3129,97,33,9,6457,1,2,0,3,2,1,0
22,"bar","NJ",7621,76,2790,97,33,10,7266,1,1,0,2,1,5,0
23,"bar","NY",10977,109,3510,97,35,7,5076,0,1,1,3,1,1,0
24,"restaurant","NJ",7753,77,2777,97,31,7,5061,1,1,1,2,2,0,0
25,"restaurant","NY",10605,106,2739,97,35,7,5004,2,0,0,4,0,1,0
26,"bar","NY",11104,111,2442,97,29,8,5775,0,1,2,3,2,0,0
27,"restaurant","NY",11762,117,2478,97,31,8,5708,0,4,1,3,0,0,0
28,"bar","MD",20904,209,2007,97,29,10,7140,0,1,5,2,2,0,0
29,"restaurant","NJ",7036,70,2970,97,29,9,6455,0,1,1,6,1,0,0
30,"restaurant","NJ",8648,86,3107,97,35,8,5758,0,2,1,3,1,1,0
31,"restaurant","NY",11758,117,2764,95,35,10,7156,2,1,1,3,1,2,0
32,"bar","NJ",7871,78,3474,95,25,8,5723,1,2,2,1,0,2,0
33,"bar","NJ",7641,76,2806,95,31,11,7820,3,1,2,2,1,2,0
34,"bar","CT",6878,68,3715,95,33,6,4368,1,0,1,3,1,0,0
35,"bar","NJ",8879,88,2832,95,33,9,6590,3,1,1,1,2,1,0
36,"restaurant","MD",21044,210,2721,95,29,9,6342,2,2,1,4,0,0,0
37,"restaurant","NY",10025,100,3261,95,29,9,6486,0,2,1,2,3,1,0
38,"restaurant","NJ",7662,76,3261,95,27,7,5086,4,1,0,1,1,0,0
39,"bar","PA",18042,180,3603,95,27,10,7315,1,1,3,1,3,1,0
40,"restaurant","NY",11754,117,3874,95,27,8,5639,1,0,0,4,1,2,0
41,"restaurant","PA",19064,190,2428,95,33,10,7199,0,3,0,4,1,2,0
42,"restaurant","NY",11435,114,2704,95,31,7,4968,2,2,0,1,2,0,0
43,"bar","NY",12302,123,2977,95,23,11,7810,2,3,2,3,1,0,0
